safety_indicator,presence_safety,absence_safety,theme
People just go to work and come straight home without spending time out in the community,0,1,Interpersonal & community relations
Youth have someone to talk to who they know will be straight and lead them in the right direction,1,0,Interpersonal & community relations
Friends hold each other accountable,1,0,Interpersonal & community relations
"Community members go to community mediators to help resolve their conflicts, not the police",1,0,"Community resources, events & programs"
Community mediators talk to people and help establish agreements to understand what's causing conflicts,1,0,"Community resources, events & programs"
"Community mediators use their relationships (to the police, to the community, to community partners, etc.) to help people out",1,0,"Community resources, events & programs"
The community steps in to solve problems that the cops can't,1,0,Interpersonal & community relations
Community leaders bring together young people from the community for discussion and dialogue,1,0,"Community resources, events & programs"
Young people get services and support from community groups that they don't get at home,1,0,"Community resources, events & programs"
Community groups provide a safe space to young people from the community,1,0,"Community resources, events & programs"
Community groups provide a space for young people to talk about what's going on,1,0,"Community resources, events & programs"
Young people get respect from gang members for participating in community groups,1,0,"Community resources, events & programs"
There is no fighting or shooting at community events,1,0,"Community resources, events & programs"
There are interracial couples out walking together,1,0,Interpersonal & community relations
Black and brown youth seek out inclusivity  through gang life,0,1,Gangs
Gang life feel exciting and is full of adrenaline,0,1,Gangs
Gang life is easy to get into (it's about just knowing the right person),0,1,Gangs
"Youth think gang life is just a game, not serious",0,1,Gangs
People in the community are traumatized,0,1,Mental health
"You can't turn off your vigilance, even when it's safe outside",0,1,Mental health
You feel disgusted with how you used to be,0,1,Mental health
People do drugs to cover up their mental illness,0,1,Mental health
Parents have severe mental health problems,0,1,Mental health
You can get jumped or harassed at anytime walking down the street,0,1,Violence & security
People in the community just stay in their apartments,0,1,Violence & security
The whole building will come outside to join in on a fight,0,1,Violence & security
You see candles out and immediately think that someone died,0,1,Violence & security
"People think it's okay to shoot someone, even for small amounts of money",0,1,Violence & security
Gang bangers come to this neighborhood from other projects,0,1,Violence & security
You go out of your way to avoid walking on certain blocks,0,1,Violence & security
You feel like you have the freedom to be you,1,0,Mental health
"You can travel from Bed-Stuy to other neighborhoods like Bensonhurst, Bay Ridge, Queens and feel like you belong",1,0,Violence & security
The streets are quiet,1,0,Violence & security
"You can walk freely around the neighborhood (to the store, to the train, etc.)",1,0,Violence & security
You can see even the most dangerous people as human with a warm side to them,1,0,Mental health
People let their ego down and show you their vulnerability,1,0,Mental health
You can go outside without carrying a weapon,1,0,Violence & security
You can leave the house knowing you'll come back,1,0,Violence & security
You see people out jogging,1,0,Violence & security
